#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
OR4F16	1	-	685715	686654	685715,	686654,
SAMD11	1	+	925737	944575	925737,925921,930154,931038,935771,939039,939274,941143,942135,942409,942558,943252,943697,943907,	925800,926013,930336,931089,935896,939129,939460,941306,942251,942488,943058,943377,943808,944575,
NOC2L	1	-	944203	959290	944203,945056,945517,946172,946401,948130,948489,951126,951999,952411,953174,953781,954003,955922,956094,956893,957098,958928,959214,	944800,945146,945653,946286,946545,948232,948603,951238,952139,952600,953288,953892,954082,956013,956215,957025,957273,959081,959290,
KLHL17	1	+	960586	965715	960586,961292,961628,961825,962354,962703,963108,963336,963919,964106,964348,964962,	960800,961552,961750,962047,962471,962917,963253,963504,964008,964180,964530,965715,
PLEKHN1	1	+	966496	975108	966496,966703,970276,970520,970685,970878,971112,971323,972074,972287,972860,973185,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973326,973640,974051,974364,975108,
PERM1	1	-	975204	981029	975204,976498,978880,	976269,976624,981029,
HES4	1	-	998963	1000111	998963,999525,999691,999865,	999432,999613,999787,1000111,
ISG15	1	+	1013422	1014540	1013422,1013983,	1013576,1014540,
AGRN	1	+	1020122	1056116	1020122,1022200,1035276,1040664,1041172,1041477,1041955,1043238,1043537,1043822,1044108,1044333,1045160,1045358,1045732,1045963,1046159,1046396,1046819,1047326,1047572,1047775,1048011,1048866,1049235,1049565,1049902,1050232,1050426,1050725,1051252,1051452,1051727,1053752,1054447,1054823,	1020373,1022462,1035324,1040880,1041397,1041702,1042162,1043457,1043732,1044023,1044257,1044439,1045277,1045523,1045876,1046088,1046265,1046735,1046957,1047454,1047687,1047895,1048365,1049059,1049451,1049795,1050037,1050329,1050591,1050837,1051369,1051645,1051815,1053977,1054551,1056116,
RNF223	1	-	1070965	1074307	1070965,1074015,	1072575,1074307,
C1orf159	1	-	1081822	1116098	1081822,1084352,1084480,1085877,1087138,1087501,1090352,1091471,1091990,1116059,	1082987,1084383,1084506,1086012,1087204,1087597,1090428,1091565,1092103,1116098,
TTLL10	1	+	1173902	1197935	1173902,1174265,1174423,1179188,1179656,1180033,1180482,1180730,1181740,1182360,1182875,1183919,1184968,1196599,1197092,1197437,	1173926,1174321,1174489,1179333,1179737,1180340,1180601,1180860,1181815,1182446,1183047,1184091,1185109,1196716,1197186,1197935,
TNFRSF18	1	-	1203507	1206571	1203507,1204398,1205369,1206384,	1203960,1204486,1205492,1206571,
TNFRSF4	1	-	1211325	1214132	1211325,1211703,1211941,1212637,1212991,1213662,1213982,	1211625,1211832,1212138,1212704,1213093,1213785,1214132,
SDF4	1	-	1216930	1232031	1216930,1218457,1218768,1223243,1223831,1228467,1231891,	1217804,1218633,1218927,1223357,1223968,1228946,1232031,
B3GALT6	1	+	1232264	1235041	1232264,	1235041,
FAM132A	1	-	1242452	1246722	1242452,1242834,1243061,1243443,1243953,1244190,1244380,1246513,	1242646,1242913,1243152,1243552,1244105,1244275,1244497,1246722,
UBE2J2	1	-	1254469	1273885	1254469,1256044,1256991,1257207,1263345,1267861,1273665,	1255487,1256125,1257130,1257310,1263386,1267992,1273885,
SCNN1D	1	+	1280435	1292019	1280435,1281225,1281410,1282241,1283977,1285570,1285925,1286767,1287108,1287507,1287672,1287938,1290270,1290476,1290636,1290894,1291064,1291253,	1280666,1281297,1281610,1282315,1284090,1285664,1286278,1286975,1287299,1287596,1287836,1288037,1290388,1290555,1290694,1290953,1291140,1292019,
ACAP3	1	-	1292375	1308018	1292375,1293822,1294089,1294401,1294717,1295446,1295735,1296014,1296210,1296424,1297821,1298012,1298369,1298566,1299344,1299830,1299972,1300157,1300508,1301987,1302921,1303161,1304085,1307768,	1293708,1293933,1294199,1294628,1294816,1295554,1295938,1296109,1296280,1296633,1297933,1298113,1298421,1298679,1299356,1299905,1300068,1300202,1300692,1302046,1302975,1303281,1304143,1308018,
PUSL1	1	+	1308566	1311677	1308566,1308914,1309085,1309453,1309680,1310633,1310908,1311329,	1308720,1308972,1309273,1309603,1309851,1310688,1311071,1311677,
CPSF3L	1	-	1311596	1324691	1311596,1312017,1312225,1312439,1312592,1312786,1313034,1313508,1313731,1314300,1314823,1315403,1315519,1319295,1320455,1320995,1324580,	1311924,1312147,1312368,1312501,1312700,1312949,1313124,1313592,1313921,1314365,1314962,1315438,1315618,1319524,1320529,1321093,1324691,
CPTP	1	+	1324766	1328897	1324766,1326835,1327240,	1325102,1327032,1328897,
TAS1R3	1	+	1331313	1335306	1331313,1331637,1332023,1332920,1333258,1333505,	1331536,1331938,1332806,1333124,1333379,1335306,
DVL1	1	-	1335275	1349350	1335275,1337976,1338268,1338521,1339286,1339581,1339735,1340037,1340246,1340409,1341666,1342052,1342362,1342688,1348895,	1336515,1338183,1338436,1338653,1339439,1339649,1339812,1340177,1340316,1340503,1341805,1342156,1342484,1342758,1349350,
MXRA8	1	-	1352690	1358535	1352690,1353847,1354029,1354192,1354353,1354681,1355243,1355449,1356680,1358455,	1353629,1353928,1354106,1354232,1354509,1355152,1355345,1355752,1356704,1358535,
AURKAIP1	1	-	1373729	1375495	1373729,1373999,1374704,1375153,	1373902,1374445,1374790,1375495,
CCNL2	1	-	1386494	1399312	1386494,1387776,1387953,1390229,1390458,1390765,1393395,1395393,1398232,1398596,1399018,	1387582,1387869,1388065,1390371,1390563,1390865,1393460,1395514,1398342,1398671,1399312,
MRPL20	1	-	1401907	1407313	1401907,1405808,1406908,1407130,	1402256,1405886,1407019,1407313,
ANKRD65	1	-	1418421	1421444	1418421,1420051,1420796,1421132,	1419549,1420592,1421005,1421444,
TMEM88B	1	+	1426127	1427787	1426127,1427553,	1426385,1427787,
VWA1	1	+	1435670	1442882	1435670,1436926,1439080,	1435821,1437484,1442882,
ATAD3C	1	+	1449688	1470158	1449688,1452045,1452364,1454344,1455459,1455790,1456224,1457128,1459160,1460749,1462599,1468383,	1450758,1452122,1452434,1454500,1455519,1455916,1456349,1457180,1459231,1460917,1462708,1470158,
ATAD3B	1	+	1471768	1496202	1471768,1477273,1478643,1479048,1480866,1482137,1482544,1485015,1485781,1486109,1486543,1487862,1489203,1490256,1490562,1495484,	1472089,1477350,1478745,1479108,1480936,1482303,1482614,1485171,1485838,1486235,1486668,1487914,1489274,1490424,1490671,1496202,
ATAD3A	1	+	1512150	1534685	1512150,1516011,1517310,1517715,1518920,1520140,1520547,1522743,1523510,1523838,1524272,1525239,1526460,1527694,1529222,1533925,	1512473,1516088,1517412,1517775,1518990,1520306,1520617,1522899,1523567,1523964,1524397,1525291,1526531,1527862,1529331,1534685,
TMEM240	1	-	1535173	1540357	1535173,1535588,1539683,1540289,	1535507,1535797,1539790,1540357,
SSU72	1	-	1541672	1574869	1541672,1543868,1544862,1564772,1574477,	1542167,1543987,1545002,1564916,1574869,
C1orf233	1	-	1598011	1600096	1598011,	1600096,
MIB2	1	+	1615442	1630605	1615442,1616507,1623388,1623773,1624794,1624990,1625285,1625545,1626649,1626836,1627073,1627295,1627672,1628018,1628272,1628488,1629132,1629384,1629638,1630291,	1615633,1616614,1623699,1623945,1624901,1625185,1625428,1625653,1626754,1626999,1627207,1627444,1627829,1628179,1628399,1628722,1629311,1629566,1629704,1630605,
MMP23B	1	+	1632180	1701810	1632180,1632782,1632980,1633187,1633747,1701147,1701360,1701607,	1632374,1632913,1633120,1633355,1633912,1701258,1701487,1701810,
CDK11A	1	-	1702880	1724324	1702880,1703079,1703475,1703823,1704038,1704222,1704549,1704903,1705641,1707408,1708179,1708793,1709037,1709517,1712263,1716345,1719327,1721595,1722707,1724257,	1702999,1703269,1703624,1703940,1704146,1704344,1704655,1705025,1705732,1707584,1708245,1708952,1709133,1709640,1712400,1716478,1719455,1721711,1722831,1724324,
SLC35E2	1	-	1732241	1745992	1732241,1734689,1738320,1738921,1739235,1745723,	1732523,1734835,1738448,1739057,1739704,1745992,
NADK	1	-	1751231	1778470	1751231,1753566,1754050,1754283,1754543,1755373,1756257,1756502,1757180,1761951,1765227,1778288,	1753060,1753649,1754208,1754383,1754698,1755476,1756343,1756608,1757310,1762035,1765446,1778470,
GNB1	1	-	1785284	1891117	1785284,1787321,1789052,1790394,1793244,1804418,1806474,1815755,1817836,1825396,1890819,	1787053,1787437,1789269,1790596,1793311,1804581,1806538,1815862,1817875,1825499,1891117,
CALML6	1	+	1914826	1917294	1914826,1915684,1916440,1916751,1916973,1917146,	1915307,1915735,1916615,1916896,1917074,1917294,
TMEM52	1	-	1917590	1919273	1917590,1918252,1918892,1919044,1919181,	1918162,1918431,1918934,1919088,1919273,
CFAP74	1	-	1921950	2003837	1921950,1922984,1923366,1923774,1924390,1925782,1926227,1926456,1926651,1926893,1927606,1928783,1930059,1938854,1939593,1940315,1942027,1944330,1946316,1946989,1955690,1956619,1959119,1959963,1963748,1964887,1966370,1968634,1970658,1971979,1972936,1974024,1985385,1986936,1988511,1988888,1990889,2003700,	1922388,1923115,1923499,1923929,1924520,1925938,1926347,1926512,1926761,1927028,1927746,1928882,1930336,1938988,1939767,1940403,1942156,1944452,1946439,1947054,1955850,1956784,1959209,1960030,1963867,1965061,1966526,1968833,1970816,1972082,1973047,1974198,1985490,1987035,1988655,1988973,1990975,2003837,
GABRD	1	+	2019323	2030751	2019323,2024941,2025333,2025517,2027576,2028154,2029110,2029550,2029982,	2019491,2025054,2025401,2025738,2027659,2028292,2029266,2029762,2030751,
FAAP20	1	-	2189547	2194774	2189547,2193638,2193997,2194687,	2189781,2193910,2194133,2194774,
SKI	1	+	2228694	2310119	2228694,2302977,2303284,2303839,2304292,2306019,2306576,	2229735,2303103,2303400,2304102,2304585,2306250,2310119,
MORN1	1	-	2321252	2391707	2321252,2324096,2336468,2336716,2357431,2358591,2372480,2374460,2384977,2385806,2387418,2388238,2389924,2391457,	2321579,2324143,2336548,2336850,2357598,2358715,2372591,2374557,2385065,2385897,2387529,2388337,2389996,2391707,
RER1	1	+	2391832	2405444	2391832,2395783,2397115,2399414,2400856,2402206,2403034,	2391958,2395871,2397220,2399514,2400935,2402342,2405444,
PEX10	1	-	2404818	2412571	2404818,2406483,2406719,2408451,2410370,2412390,	2405834,2406619,2406895,2408858,2410451,2412571,
PLCH2	1	+	2476314	2505525	2476314,2478475,2479733,2480182,2484447,2486906,2487172,2487597,2489206,2489759,2491191,2494855,2495487,2496606,2496827,2497501,2498522,2498743,2499083,2499640,2502111,2503921,	2476712,2478622,2479977,2480312,2484618,2487000,2487376,2487718,2489378,2489867,2491335,2494948,2495570,2496704,2497010,2497609,2498647,2498828,2499230,2499720,2502409,2505525,
PANK4	1	-	2508532	2526628	2508532,2509861,2510056,2510677,2511337,2511627,2512887,2514001,2514353,2515561,2518163,2518515,2519142,2519800,2520321,2520722,2521100,2521717,2526463,	2509060,2509930,2510157,2510782,2511387,2511683,2513039,2514089,2514466,2515717,2518264,2518597,2519324,2519954,2520414,2520906,2521315,2521800,2526628,
HES5	1	-	2528744	2530245	2528744,2529845,2530110,	2529749,2530011,2530245,
TNFRSF14	1	+	2556365	2563829	2556365,2557725,2558342,2559822,2560623,2561672,2562864,2563147,	2556733,2557834,2558468,2559978,2560714,2561815,2562896,2563829,
FAM213B	1	+	2586774	2591468	2586774,2587090,2587740,2588389,2588549,2588921,2589409,	2586948,2587295,2587792,2588453,2588625,2589040,2591468,
MMEL1	1	-	2590642	2632990	2590642,2591556,2591931,2592654,2592832,2593813,2594384,2594789,2595275,2596008,2596560,2598206,2598653,2603883,2604146,2605557,2606247,2606973,2609338,2609669,2611280,2612126,2629330,2632865,	2591089,2591633,2592027,2592720,2592966,2593933,2594443,2594893,2595359,2596107,2596689,2598300,2598790,2603973,2604281,2605623,2606366,2607069,2609419,2609831,2611340,2612204,2629521,2632990,
TTC34	1	-	2635975	2789755	2635975,2644263,2645292,2783608,2785818,2787480,2789502,	2641895,2644478,2645563,2783775,2786023,2787706,2789755,
ACTRT2	1	+	3021482	3022903	3021482,	3022903,
PRDM16	1	+	3069210	3438621	3069210,3186124,3244086,3385151,3396490,3402790,3404738,3405494,3411383,3414559,3417827,3418666,3425580,3426050,3430871,3431965,3433676,	3069296,3186474,3244137,3385286,3396593,3402998,3404886,3405648,3412800,3414647,3417997,3418744,3425750,3426225,3431108,3432140,3438621,
ARHGEF16	1	+	3454425	3481113	3454425,3463065,3466147,3467167,3468879,3469432,3473077,3473392,3474707,3475969,3477874,3478423,3479516,3479811,3480447,	3454811,3463672,3466193,3467337,3468936,3469593,3473230,3473522,3474782,3476062,3478026,3478612,3479590,3479913,3481113,
MEGF6	1	-	3489925	3611495	3489925,3490911,3492638,3493770,3493995,3494370,3494612,3495889,3496654,3496987,3497232,3498370,3498697,3499137,3499587,3499795,3500632,3500965,3501176,3501795,3505207,3505421,3506107,3507794,3508557,3509074,3509869,3510782,3511549,3512005,3514549,3515401,3524123,3579824,3595337,3602465,3611137,	3490589,3490959,3492767,3493899,3494124,3494499,3494741,3496018,3496783,3497119,3497361,3498499,3498826,3499266,3499716,3499924,3500764,3501094,3501308,3501921,3505342,3505556,3506236,3507923,3508689,3509245,3509992,3510902,3511687,3512128,3514672,3515527,3524246,3579929,3595447,3602600,3611495,
TPRG1L	1	+	3625001	3630127	3625001,3625423,3625712,3627499,3628408,	3625273,3625515,3625889,3627653,3630127,
WRAP73	1	-	3630766	3650073	3630766,3631465,3632212,3633397,3634996,3635159,3635943,3636994,3638749,3646665,3647407,3649930,	3631117,3631657,3632338,3633503,3635074,3635294,3636030,3637098,3638822,3646782,3647560,3650073,
TP73	1	+	3652519	3736201	3652519,3682332,3683059,3707548,3722020,3723353,3727114,3727627,3728128,3729326,3729999,3730926,3731462,3732746,	3652641,3682430,3683180,3707791,3722207,3723469,3727224,3727770,3728217,3729448,3730148,3731065,3731556,3736201,
CCDC27	1	+	3752397	3771644	3752397,3754117,3755456,3756732,3761280,3762619,3763107,3763705,3766534,3767232,3769782,3771400,	3752799,3754241,3755567,3756890,3761430,3762712,3763474,3763836,3766612,3767445,3769887,3771644,
SMIM1	1	+	3772787	3775982	3772787,3773062,3775298,3775794,	3772841,3773181,3775483,3775982,
